team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame,win,shot_diff,penalty_diff,xgoal_diff,shotAttempt_diff,faceOff_diff
NYR,2022,NYR,2022020003,NYR,TBL,HOME,20221011,Team Level,all,0.6699,0.6068,0.5904,3600.0,36.626,5.589,3.084,7.843,1.19,18.568,12.727,4.959,5.524,4.897,39.0,10.0,22.0,71.0,3.0,6.0,0.0,2.0,3.0,24.0,11.0,36.0,46.0,6.0,12.0,30.0,24.0,19.0,17.0,26.0,14.0,9.0,1.008,1.556,3.025,1.0,2.0,0.0,70.854,49.0,48.988,5.0,0.688,1.358,1.358,4.919,4.868,4.578,25.294,2.754,1.868,5.87,1.073,14.067,8.368,2.446,2.813,2.504,26.0,8.0,12.0,46.0,1.0,2.0,0.0,6.0,0.0,10.0,15.0,25.0,33.0,4.0,8.0,17.0,19.0,8.0,15.0,24.0,6.0,4.0,0.635,0.757,1.362,0.0,0.0,1.0,46.551,34.0,34.315,5.0,0.465,0.176,0.176,3.043,3.102,2.754,0,1,13.0,2.0,2.8350000000000004,25.0,13.0
NYR,2022,NYR,2022020017,NYR,MIN,AWAY,20221013,Team Level,all,0.4152,0.4655,0.4556,3600.0,30.783,3.165,2.387,7.092,0.93,16.263,11.163,3.123,3.4,3.356,35.0,6.0,13.0,54.0,7.0,4.0,1.0,6.0,0.0,10.0,14.0,28.0,34.0,7.0,17.0,29.0,27.0,4.0,1.0,29.0,9.0,3.0,0.641,1.088,1.436,1.0,3.0,3.0,61.002,41.0,45.018,0.0,0.536,0.336,0.336,3.365,3.596,3.554,35.567,4.457,2.568,7.138,1.252,18.462,15.123,3.833,4.294,3.67,36.0,13.0,13.0,62.0,3.0,3.0,0.0,5.0,0.0,18.0,20.0,33.0,46.0,8.0,19.0,29.0,20.0,9.0,6.0,30.0,13.0,6.0,1.092,1.703,1.662,0.0,2.0,1.0,57.921,49.0,46.481,2.0,0.626,0.954,0.954,4.128,3.953,3.584,0,1,-1.0,-1.0,-1.2919999999999998,-8.0,0.0
NYR,2022,NYR,2022020023,NYR,WPG,AWAY,20221014,Team Level,all,0.4,0.5185,0.5481,3600.0,40.542,2.814,2.906,9.682,1.407,23.631,16.561,2.725,2.863,2.773,41.0,16.0,13.0,70.0,1.0,6.0,0.0,7.0,2.0,21.0,20.0,40.0,56.0,3.0,6.0,28.0,25.0,3.0,20.0,46.0,10.0,1.0,1.318,1.288,0.208,1.0,0.0,0.0,69.733,57.0,56.422,18.0,0.645,0.43,0.43,3.029,3.073,2.982,33.758,4.221,2.192,7.402,1.079,18.976,13.131,4.109,4.173,4.062,34.0,13.0,18.0,65.0,4.0,2.0,1.0,7.0,0.0,21.0,13.0,30.0,43.0,2.0,4.0,29.0,28.0,12.0,17.0,30.0,14.0,3.0,1.191,1.633,1.397,1.0,2.0,1.0,64.892,47.0,47.386,14.0,0.472,0.407,0.407,4.286,4.232,4.138,0,0,7.0,1.0,-1.407,5.0,-1.0
NYR,2022,NYR,2022020039,NYR,ANA,HOME,20221017,Team Level,all,0.6968,0.6481,0.6988,3600.0,41.567,3.741,3.001,9.327,1.346,23.951,16.634,3.549,3.766,3.573,43.0,15.0,12.0,70.0,6.0,2.0,0.0,9.0,0.0,27.0,14.0,37.0,52.0,1.0,2.0,30.0,27.0,5.0,5.0,41.0,15.0,2.0,1.413,1.795,0.533,1.0,5.0,0.0,73.202,58.0,59.571,3.0,0.648,0.394,0.394,3.995,4.019,3.821,18.361,1.628,1.217,4.526,0.607,9.85,7.173,1.596,1.628,1.597,22.0,3.0,13.0,38.0,4.0,1.0,0.0,4.0,0.0,8.0,8.0,18.0,21.0,4.0,8.0,28.0,17.0,4.0,10.0,17.0,6.0,2.0,0.536,0.593,0.499,3.0,0.0,1.0,36.546,25.0,24.426,7.0,0.256,0.216,0.216,1.668,1.671,1.669,0,1,21.0,-3.0,2.1130000000000004,32.0,2.0
NYR,2022,NYR,2022020064,NYR,SJS,HOME,20221020,Team Level,all,0.4877,0.5,0.5432,3649.0,30.029,2.97,2.147,6.531,0.991,18.353,13.007,2.892,2.876,2.8,23.0,21.0,11.0,55.0,2.0,2.0,0.0,11.0,1.0,13.0,15.0,21.0,42.0,3.0,6.0,24.0,33.0,5.0,8.0,31.0,10.0,3.0,1.134,1.138,0.698,2.0,0.0,0.0,53.523,44.0,42.894,1.0,0.466,0.425,0.425,3.011,2.922,2.865,26.37,3.12,1.761,5.483,0.844,14.552,11.24,3.046,3.199,3.123,27.0,10.0,18.0,55.0,3.0,2.0,1.0,5.0,0.0,11.0,16.0,24.0,34.0,5.0,10.0,33.0,19.0,5.0,6.0,27.0,7.0,3.0,0.838,0.899,1.384,1.0,1.0,1.0,57.061,37.0,38.238,1.0,0.389,1.156,1.156,2.354,2.437,2.397,0,0,-4.0,-2.0,-0.1499999999999999,0.0,-9.0
NYR,2022,NYR,2022020089,NYR,CBJ,HOME,20221023,Team Level,all,0.5683,0.625,0.6282,3600.0,34.02,2.571,2.428,7.641,1.098,21.292,13.97,2.507,2.428,2.366,31.0,18.0,21.0,70.0,1.0,1.0,0.0,9.0,1.0,20.0,17.0,30.0,48.0,1.0,2.0,34.0,26.0,5.0,10.0,38.0,11.0,0.0,1.374,1.198,0.0,0.0,1.0,0.0,64.779,49.0,45.916,4.0,0.551,0.185,0.185,2.937,2.764,2.698,21.365,1.953,1.647,4.696,0.749,11.524,8.432,1.946,2.161,2.153,21.0,8.0,13.0,42.0,5.0,0.0,0.0,5.0,0.0,9.0,10.0,16.0,24.0,3.0,6.0,17.0,15.0,9.0,6.0,22.0,4.0,3.0,0.747,0.592,0.613,3.0,2.0,0.0,46.595,29.0,32.131,4.0,0.345,0.0,0.0,2.298,2.54,2.531,0,0,10.0,-2.0,0.6180000000000001,28.0,17.0
NYR,2022,NYR,2022020108,NYR,NYI,AWAY,20221026,Team Level,all,0.5553,0.5714,0.5833,3600.0,40.84,3.384,3.172,9.49,1.357,22.665,15.932,3.066,3.477,3.145,41.0,15.0,16.0,72.0,0.0,5.0,0.0,9.0,1.0,27.0,14.0,41.0,56.0,3.0,6.0,24.0,43.0,4.0,15.0,44.0,8.0,4.0,1.046,0.989,1.349,0.0,0.0,0.0,71.441,56.0,55.485,3.0,0.705,1.278,1.278,2.811,2.871,2.765,27.982,2.71,2.077,6.267,0.879,16.864,11.203,2.651,2.687,2.629,29.0,11.0,14.0,54.0,3.0,1.0,0.0,6.0,1.0,12.0,17.0,26.0,37.0,3.0,6.0,25.0,35.0,10.0,10.0,27.0,12.0,1.0,0.999,1.469,0.242,1.0,2.0,0.0,54.724,40.0,40.598,4.0,0.445,0.242,0.242,2.913,2.897,2.84,0,0,12.0,0.0,0.6739999999999999,18.0,-1.0
NYR,2022,NYR,2022020127,NYR,DAL,AWAY,20221029,Team Level,all,0.6261,0.5085,0.5059,3600.0,29.639,4.123,2.082,6.769,1.038,16.966,12.023,3.988,4.275,4.129,27.0,16.0,17.0,60.0,6.0,4.0,1.0,1.0,0.0,22.0,10.0,21.0,37.0,6.0,12.0,28.0,18.0,8.0,8.0,28.0,9.0,6.0,0.702,1.028,2.393,2.0,1.0,3.0,62.282,43.0,44.517,3.0,0.452,0.981,0.981,3.594,3.694,3.637,31.305,2.462,1.811,7.829,1.068,16.523,12.307,2.367,2.37,2.278,33.0,9.0,16.0,58.0,3.0,4.0,1.0,4.0,0.0,15.0,16.0,30.0,39.0,7.0,14.0,24.0,13.0,5.0,5.0,31.0,9.0,2.0,0.833,1.108,0.521,2.0,0.0,1.0,55.993,42.0,40.663,3.0,0.385,0.702,0.702,2.145,2.064,2.036,0,1,-6.0,-1.0,1.661,2.0,4.0
NYR,2022,NYR,2022020141,NYR,ARI,AWAY,20221030,Team Level,all,0.6427,0.58,0.622,3600.0,36.844,3.981,2.635,7.964,1.167,20.664,14.589,3.93,4.11,4.054,39.0,12.0,7.0,58.0,3.0,1.0,0.0,7.0,3.0,19.0,18.0,36.0,48.0,1.0,2.0,31.0,34.0,5.0,9.0,40.0,8.0,3.0,1.235,1.135,1.612,1.0,1.0,1.0,59.595,51.0,52.308,4.0,0.584,0.177,0.177,4.388,4.528,4.471,22.091,2.213,1.439,4.853,0.74,12.685,9.069,2.162,2.131,2.082,20.0,11.0,11.0,42.0,2.0,1.0,0.0,2.0,0.0,12.0,14.0,18.0,29.0,3.0,6.0,26.0,27.0,3.0,11.0,19.0,11.0,1.0,0.611,1.379,0.222,0.0,2.0,0.0,41.219,31.0,30.552,5.0,0.298,0.156,0.156,2.355,2.27,2.233,0,1,19.0,-2.0,1.7679999999999998,16.0,5.0
NYR,2022,NYR,2022020149,NYR,PHI,HOME,20221101,Team Level,all,0.6509,0.646,0.6905,3847.0,41.853,4.61,3.133,8.953,1.47,22.579,17.255,4.504,4.469,4.365,36.0,22.0,15.0,73.0,1.0,3.0,0.0,6.0,1.0,21.0,26.0,35.0,57.0,5.0,10.0,21.0,27.0,9.0,16.0,38.0,15.0,5.0,1.405,1.848,1.357,0.0,1.0,0.0,71.44,58.0,56.819,7.0,0.678,0.791,0.791,4.497,4.369,4.277,19.405,2.472,1.138,4.481,0.587,9.386,7.937,2.101,2.52,2.15,19.0,7.0,14.0,40.0,0.0,1.0,0.0,8.0,0.0,4.0,13.0,19.0,26.0,5.0,10.0,29.0,14.0,5.0,12.0,19.0,5.0,2.0,0.5,0.66,1.311,0.0,0.0,0.0,41.024,26.0,26.64,6.0,0.261,0.901,0.901,1.832,1.89,1.884,0,1,17.0,0.0,2.1380000000000003,33.0,-8.0
